,area_type,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
28,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2,4237.185056472633
29,Super built-up  Area,Electronic City,1025.0,2.0,1.0,47.0,3,4585.365853658536
30,Super built-up  Area,Yelahanka,2475.0,4.0,0.0,186.0,4,7515.151515151515
31,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,35.0,3,3255.813953488372
32,Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3,6988.636363636364
33,Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,3389.84051978736
34,Built-up  Area,Kasturi Nagar,1925.0,3.0,2.0,125.0,3,6493.506493506494
35,Super built-up  Area,Kanakpura Road,700.0,2.0,1.0,36.0,2,5142.857142857143
36,Super built-up  Area,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,4252.336448598131
37,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3,7250.580046403712
38,Super built-up  Area,Chikkalasandra,1290.0,2.0,2.0,56.12,3,4350.387596899225
39,Built-up  Area,Uttarahalli,1143.0,2.0,2.0,45.0,2,3937.0078740157483
40,Built-up  Area,Murugeshpalya,1296.0,2.0,2.0,81.0,2,6250.0
41,Super built-up  Area,Sarjapur  Road,1254.0,3.0,2.0,38.0,3,3030.3030303030305
42,Super built-up  Area,Ganga Nagar,600.0,1.0,0.0,38.0,1,6333.333333333333
43,Plot  Area,Yelahanka,660.0,1.0,0.0,48.0,1,7272.727272727273
44,Super built-up  Area,Kanakpura Road,1330.74,2.0,2.0,91.79,2,6897.665960292769
46,Super built-up  Area,Doddathoguru,970.0,2.0,0.0,33.0,2,3402.061855670103
47,Super built-up  Area,Whitefield,1459.0,2.0,1.0,94.82,2,6498.971898560658
49,Built-up  Area,Himagiri Meadows,869.0,2.0,1.0,36.0,2,4142.692750287687
50,Super built-up  Area,Adarsh Nagar,1270.0,2.0,1.0,50.0,2,3937.0078740157483
51,Super built-up  Area,Bhoganhalli,1670.0,3.0,1.0,99.0,3,5928.143712574851
52,Built-up  Area,Whitefield,2010.0,3.0,2.0,91.0,3,4527.363184079602
53,Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,6329.113924050633
54,Super built-up  Area,Yelahanka,1600.0,2.0,3.0,75.0,3,4687.5
55,Super built-up  Area,Begur Road,1200.0,2.0,2.0,44.0,2,3666.6666666666665
56,Built-up  Area,Devanahalli,3210.0,2.0,2.0,192.0,4,5981.308411214954
59,Super built-up  Area,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2,5357.142857142857
60,Plot  Area,Tharabanahalli,4395.0,3.0,2.0,240.0,3,5460.750853242321
61,Super built-up  Area,Ganga Nagar,845.0,2.0,1.0,55.0,2,6508.87573964497
63,Built-up  Area,Varthur,1160.0,2.0,2.0,44.0,2,3793.103448275862
64,Built-up  Area,Bommanahalli,3000.0,8.0,0.0,140.0,8,4666.666666666667
65,Super built-up  Area,Doddathoguru,1100.0,2.0,1.0,62.0,2,5636.363636363636
66,Super built-up  Area,Gunjur,1140.0,2.0,3.0,43.0,2,3771.9298245614036
67,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2,4672.131147540984
69,Super built-up  Area,Kanakpura Road,1005.0,2.0,1.0,36.68,2,3649.7512437810947
71,Super built-up  Area,Begur Road,1358.0,2.0,1.0,80.58,2,5933.726067746687
72,Super built-up  Area,Hegde Nagar,1569.0,3.0,1.0,101.0,3,6437.221159974506
73,Super built-up  Area,Haralur Road,1240.0,2.0,1.0,70.0,2,5645.1612903225805
74,Super built-up  Area,Hennur Road,2089.0,3.0,2.0,140.0,3,6701.771182383915
75,Super built-up  Area,Kothannur,1206.0,2.0,1.0,48.23,2,3999.1708126036483
76,Super built-up  Area,Kalena Agrahara,1150.0,2.0,3.0,40.0,2,3478.2608695652175
77,Built-up  Area,Cholanayakanahalli,2511.0,3.0,3.0,205.0,3,8164.078056551175
79,Built-up  Area,ISRO Layout,4400.0,6.0,3.0,250.0,6,5681.818181818182
80,Super built-up  Area,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,3,6325.301204819277
81,Built-up  Area,Hennur Road,3203.5,2.0,2.0,224.5,4,7007.960043702201
82,Super built-up  Area,Yelahanka,1326.0,2.0,2.0,78.0,2,5882.35294117647
83,Super built-up  Area,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679245283019
84,Super built-up  Area,EPIP Zone,1499.0,5.0,2.0,102.0,3,6804.536357571715
85,Built-up  Area,Hegde Nagar,3000.0,7.0,2.0,210.0,6,7000.0
86,Super built-up  Area,Kanakpura Road,1665.0,3.0,2.0,88.0,3,5285.285285285286
87,Super built-up  Area,Dasanapura,708.0,2.0,2.0,37.0,2,5225.988700564972
88,Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2,5477.358490566037
90,Built-up  Area,Sanjay nagar,1000.0,2.0,2.0,70.0,2,7000.0
91,Super built-up  Area,Electronic City,1000.0,2.0,1.0,28.88,2,2888.0
92,Super built-up  Area, Mysore Highway,1450.0,2.0,2.0,70.0,3,4827.586206896552
94,Super built-up  Area,Thanisandra,1296.0,2.0,3.0,80.0,2,6172.83950617284
95,Super built-up  Area,Domlur,1540.0,3.0,2.0,90.0,3,5844.1558441558445
96,Plot  Area,Kengeri,2894.0,4.0,1.0,245.0,4,8465.791292328957
97,Super built-up  Area,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,3609.0225563909776
98,Built-up  Area,Devasthanagalu,1200.0,2.0,1.0,65.0,2,5416.666666666667
99,Built-up  Area,T Dasarahalli,1200.0,3.0,1.0,90.0,3,7500.0
100,Super built-up  Area,Yeshwanthpur,2502.0,3.0,3.0,138.0,3,5515.587529976019
101,Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2,2615.3846153846152
102,Plot  Area,Kothanur,2400.0,2.0,1.0,150.0,3,6250.0
103,Super built-up  Area,Green View Layout,1007.0,2.0,2.0,43.0,2,4270.109235352532
104,Super built-up  Area,Shantiniketan Layout,1200.0,2.0,2.0,50.0,2,4166.666666666667
105,Super built-up  Area,Peenya,966.0,2.0,2.0,49.9,2,5165.631469979296
106,Built-up  Area,Nagarbhavi,1630.0,2.0,1.0,98.0,3,6012.269938650306
108,Built-up  Area,Jalahalli West,782.0,2.0,2.0,55.68,2,7120.204603580562
109,Super built-up  Area,Devanahalli,1260.0,2.0,2.0,66.78,2,5300.0
110,Super built-up  Area,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,3,6666.666666666667
111,Super built-up  Area,Byatarayanapura,1413.0,2.0,2.0,75.0,3,5307.855626326964
112,Super built-up  Area,Whitefield,1116.0,2.0,1.0,51.91,2,4651.433691756272
113,Super built-up  Area,Electronic City,1530.0,2.0,1.0,45.9,3,3000.0
114,Built-up  Area,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,6081.081081081081
115,Built-up  Area,Sarjapur  Road,2497.0,3.0,2.0,140.0,3,5606.728073688426
116,Super built-up  Area,Kengeri,1540.0,2.0,3.0,64.0,3,4155.8441558441555
117,Super built-up  Area,Thanisandra,1436.0,3.0,1.0,74.75,3,5205.431754874652
118,Super built-up  Area,Malleshwaram,1100.0,2.0,2.0,75.0,2,6818.181818181818
120,Super built-up  Area,Thanisandra,1427.0,3.0,2.0,120.0,3,8409.250175192712
121,Super built-up  Area,Akshaya Nagar,2061.0,3.0,1.0,200.0,3,9704.02717127608
122,Super built-up  Area,Hebbal,5611.5,4.0,0.0,477.0,4,8500.400962309543
123,Built-up  Area,Shampura,2650.0,4.0,2.0,150.0,4,5660.377358490566
124,Super built-up  Area,Devanahalli,1282.0,2.0,2.0,68.52,3,5344.773790951638
125,Built-up  Area,Kadugodi,1050.0,2.0,1.0,34.0,2,3238.095238095238
126,Built-up  Area,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3,4062.5
127,Super built-up  Area,Vajarahalli,945.0,2.0,1.0,54.0,2,5714.285714285715
128,Super built-up  Area,Hormavu,1500.0,2.0,1.0,78.0,2,5200.0
130,Built-up  Area,Peenya,1870.0,3.0,3.0,110.0,3,5882.35294117647
131,Plot  Area,Sarjapur,1600.0,3.0,1.0,75.0,3,4687.5
134,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3,5407.166123778502
135,Built-up  Area,Kanakpura Road,950.0,2.0,1.0,57.0,2,6000.0
136,Super built-up  Area,Devanahalli,1360.0,2.0,1.0,65.0,2,4779.411764705882
137,Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746
138,Super built-up  Area,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,3937.5
139,Super built-up  Area,Chandra Layout,1260.0,2.0,2.0,85.05,3,6750.0
140,Built-up  Area,Hennur Road,5000.0,8.0,2.0,250.0,8,5000.0
141,Super built-up  Area,Yelahanka,3050.0,5.0,1.0,213.0,5,6983.606557377049
142,Super built-up  Area,Kasavanhalli,1563.05,3.0,1.0,105.0,3,6717.635392341896
143,Super built-up  Area,ISRO Layout,1000.0,2.0,1.0,60.0,2,6000.0
144,Super built-up  Area,Anandapura,1167.0,2.0,1.0,43.76,2,3749.7857754927163
145,Super built-up  Area,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7,5625.0
146,Super built-up  Area,Kothanur,1828.0,3.0,2.0,110.0,3,6017.505470459519
147,Super built-up  Area,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2,3932.5842696629215
148,Super built-up  Area,Basavanapura,1612.0,3.0,3.0,46.74,3,2899.5037220843674
150,Super built-up  Area,Mysore Road,1710.0,4.0,2.0,91.31,3,5339.766081871345
151,Super built-up  Area,Kannamangala,957.0,2.0,1.0,58.0,2,6060.606060606061
152,Super built-up  Area, Devarachikkanahalli,1250.0,2.0,3.0,44.0,3,3520.0
153,Super built-up  Area,Sanjeevini Nagar,2795.0,4.0,2.0,235.0,3,8407.871198568873
154,Super built-up  Area,Hulimavu,1125.0,2.0,2.0,50.0,2,4444.444444444444
155,Super built-up  Area,Electronic City Phase II,1020.0,2.0,1.0,30.6,2,3000.0
156,Super built-up  Area,Kalena Agrahara,1200.0,2.0,2.0,50.0,2,4166.666666666667
157,Super built-up  Area,Thanisandra,1735.0,3.0,3.0,135.0,3,7780.979827089337
158,Super built-up  Area,Thanisandra,2050.0,3.0,1.0,145.0,3,7073.170731707317
160,Built-up  Area,Yarandahalli,1350.0,2.0,3.0,48.0,3,3555.5555555555557
161,Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.0,2,3010.348071495767
162,Super built-up  Area,Keshava Nagar,1904.0,3.0,1.0,150.0,3,7878.151260504202
163,Built-up  Area,Whitefield,4200.0,4.0,2.0,420.0,4,10000.0
164,Super built-up  Area,RMV Extension,2000.0,3.0,1.0,175.0,3,8750.0
165,Super built-up  Area,Sarjapur,1242.5,2.0,0.0,43.49,2,3500.201207243461
166,Super built-up  Area,Tejaswini Nagar,1425.0,2.0,2.0,75.0,3,5263.1578947368425
167,Super built-up  Area,Electronic City,1500.0,2.0,1.0,64.5,3,4300.0
168,Built-up  Area,Electronic City,1060.0,2.0,1.0,60.0,2,5660.377358490566
169,Built-up  Area,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3,4761.9047619047615
171,Super built-up  Area,Attibele,450.0,1.0,1.0,11.0,1,2444.4444444444443
172,Super built-up  Area,Electronic City,1152.0,2.0,1.0,64.5,2,5598.958333333333
173,Super built-up  Area,Electronic City,1350.0,2.0,1.0,56.0,3,4148.148148148148
174,Super built-up  Area,CV Raman Nagar,1550.0,3.0,3.0,65.0,3,4193.548387096775
175,Plot  Area,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,3,6666.666666666667
177,Plot  Area,Nagavara,400.0,1.0,0.0,14.0,1,3500.0
178,Super built-up  Area,Malleshwaram,705.0,1.0,2.0,67.0,1,9503.54609929078
179,Built-up  Area,Electronic City,770.0,1.0,1.0,36.0,2,4675.324675324675
180,Super built-up  Area,Hulimavu,1242.0,2.0,3.0,51.0,2,4106.280193236715
181,Super built-up  Area,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3,9117.64705882353
182,Super built-up  Area,Thanisandra,2144.0,3.0,2.0,145.0,3,6763.059701492537
183,Super built-up  Area,Vijayanagar,1704.0,3.0,2.0,110.0,3,6455.399061032864
184,Super built-up  Area,Electronic City,1070.0,2.0,1.0,52.0,2,4859.813084112149
186,Super built-up  Area,Jakkuru Layout,1340.0,2.0,2.0,55.7,2,4156.7164179104475
187,Built-up  Area,Electronic City,1025.0,2.0,1.0,46.0,2,4487.804878048781
188,Super built-up  Area,KR Puram,1277.5,2.0,0.0,56.8,2,4446.183953033268
189,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2,4333.333333333333
190,Built-up  Area,Kanakpura Road,2250.0,4.0,1.0,110.0,4,4888.888888888889
191,Super built-up  Area,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,5161.290322580645
194,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2,5000.0
195,Super built-up  Area,Yelahanka,1327.0,2.0,2.0,98.0,2,7385.079125847777
196,Super built-up  Area,Kothanur,1186.0,2.0,2.0,58.0,2,4890.387858347386
197,Built-up  Area,MS Pallya,1783.0,3.0,1.0,115.0,3,6449.8037016264725
198,Super built-up  Area,HSR Layout,1400.0,3.0,2.0,56.0,3,4000.0
199,Super built-up  Area,Nagasandra,980.0,2.0,1.0,48.0,2,4897.959183673469
200,Super built-up  Area,EPIP Zone,1285.0,2.0,2.0,82.0,2,6381.322957198444
201,Super built-up  Area,Langford Town,912.0,2.0,1.0,70.0,3,7675.438596491228
202,Built-up  Area,Whitefield,1225.0,2.0,2.0,47.6,2,3885.714285714286
203,Super built-up  Area,Whitefield,1075.0,2.0,1.0,53.0,2,4930.232558139535
204,Built-up  Area,Kadugodi,1260.0,2.0,2.0,54.0,3,4285.714285714285
205,Super built-up  Area,Yelahanka,1282.0,2.0,2.0,48.7,3,3798.751950078003
206,Super built-up  Area,Kogilu,1909.0,3.0,2.0,88.0,3,4609.743321110529
207,Super built-up  Area,Panathur,1359.0,2.0,1.0,87.0,2,6401.766004415011
208,Built-up  Area,Nagondanahalli,1207.0,2.0,2.0,43.5,2,3603.976801988401
211,Super built-up  Area,Kammasandra,1595.0,3.0,2.0,65.0,3,4075.2351097178685
212,Built-up  Area,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,3,4949.944382647386
213,Super built-up  Area,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,5307.796610169492
214,Super built-up  Area,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,3,6329.113924050633
215,Super built-up  Area,Dasarahalli,1295.0,2.0,1.0,65.0,2,5019.305019305019
216,Built-up  Area,Magadi Road,3600.0,6.0,0.0,141.0,6,3916.6666666666665
217,Super built-up  Area,Electronic City,589.0,1.0,1.0,27.0,1,4584.040747028863
218,Super built-up  Area,Ngef Layout,1415.0,3.0,3.0,78.0,3,5512.367491166077
219,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,98.29,3,5500.279798545048
220,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,125.0,3,6994.963626189144
221,Super built-up  Area,Koramangala,1475.0,2.0,3.0,90.0,3,6101.6949152542375
222,Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4,3775.0
223,Super built-up  Area,Sarjapur  Road,984.0,2.0,1.0,44.28,2,4500.0
224,Super built-up  Area,Devanahalli,1630.0,2.0,2.0,74.82,3,4590.184049079754
226,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667
227,Plot  Area,Shantiniketan Layout,1500.0,2.0,1.0,115.0,2,7666.666666666667
228,Super built-up  Area,Hebbal,1900.0,3.0,2.0,119.0,3,6263.1578947368425
229,Super built-up  Area,Dommasandra,805.0,2.0,1.0,22.14,2,2750.3105590062114
230,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2,4891.587163920208
231,Super built-up  Area,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,2,5226.480836236934
232,Super built-up  Area,Mylasandra,1110.0,2.0,2.0,55.0,2,4954.954954954955
233,Built-up  Area,Electronic City,1100.0,2.0,2.0,42.0,2,3818.181818181818
234,Super built-up  Area,Kalyan nagar,1290.0,2.0,2.0,110.0,2,8527.131782945737
235,Super built-up  Area,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,3,4333.333333333333
236,Super built-up  Area,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2,3611.1111111111113
237,Super built-up  Area,Vijayanagar,1933.0,3.0,1.0,129.0,3,6673.564407656492
238,Built-up  Area,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5,4285.714285714285
239,Built-up  Area,Kullappa Colony,1060.0,2.0,2.0,60.0,2,5660.377358490566
240,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.3875968992247
241,Plot  Area,Mukkutam Nagar,2600.0,8.0,2.0,180.0,8,6923.076923076923
242,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.3875968992247
243,Super built-up  Area,Ashwath Nagar,1644.0,3.0,3.0,84.0,3,5109.489051094891
244,Super built-up  Area,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2,5642.023346303502
245,Plot  Area,Electronic City,1200.0,3.0,1.0,90.0,3,7500.0
246,Super built-up  Area,Electronic City,910.0,2.0,1.0,40.0,2,4395.604395604396
247,Super built-up  Area,Kothanur,1577.0,3.0,1.0,70.0,3,4438.807863031072
248,Plot  Area,Meenakunte,4050.0,3.0,2.0,280.0,3,6913.580246913581
249,Super built-up  Area,OMBR Layout,2420.0,3.0,2.0,185.0,3,7644.628099173554
250,Super built-up  Area,Chandapura,800.0,1.0,1.0,20.0,2,2500.0
251,Built-up  Area,Anand Nagar,1060.0,2.0,2.0,55.0,2,5188.679245283019
252,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292
253,Super built-up  Area,Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,2,2500.0
254,Built-up  Area,Kundalahalli Colony,1280.0,2.0,1.0,69.0,2,5390.625
255,Plot  Area,Horamavu Agara,1200.0,2.0,0.0,95.0,4,7916.666666666667
256,Built-up  Area,Sarjapur  Road,1025.0,2.0,2.0,36.0,2,3512.1951219512193
257,Super built-up  Area,Electronic City,1108.0,2.0,1.0,63.0,2,5685.9205776173285
259,Super built-up  Area,Coffee Board Layout,3045.0,3.0,2.0,170.0,3,5582.922824302134
260,Plot  Area,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4,10344.827586206897
261,Super built-up  Area,Vijayanagar,1500.0,3.0,2.0,75.5,3,5033.333333333333
262,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,3389.96138996139
263,Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2,5154.9053356282275
264,Super built-up  Area,Sarjapur  Road,1035.0,2.0,2.0,49.2,2,4753.623188405797
265,Built-up  Area,Attibele,1600.0,4.0,0.0,52.8,4,3300.0
266,Super built-up  Area,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,3,3142.0765027322404
267,Super built-up  Area,Hennur Road,1866.0,2.0,2.0,61.58,3,3300.10718113612
268,Super built-up  Area,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,2,3714.285714285714
269,Super built-up  Area,Kalena Agrahara,1804.0,3.0,2.0,120.0,3,6651.884700665189
270,Super built-up  Area,Sarjapur,913.0,2.0,1.0,32.0,2,3504.9288061336256
271,Super built-up  Area,Talaghattapura,1868.0,3.0,2.0,131.0,3,7012.847965738758
272,Built-up  Area,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2,5096.262740656852
274,Super built-up  Area,Kogilu,1664.0,2.0,3.0,73.95,3,4444.110576923077
275,Super built-up  Area,Hegde Nagar,2026.0,3.0,2.0,132.0,3,6515.301085883514
276,Super built-up  Area,Balagere,1210.0,2.0,1.0,80.9,2,6685.950413223141
277,Plot  Area,Meenakunte,4111.0,4.0,2.0,250.0,4,6081.24543906592
278,Super built-up  Area,Kadugodi,1762.0,3.0,3.0,91.45,3,5190.124858115778
279,Super built-up  Area,Jigani,1252.0,3.0,3.0,55.0,3,4392.97124600639
280,Built-up  Area,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2,4006.968641114983
281,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605
283,Built-up  Area,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3,5288.5906040268455
284,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3,4279.069767441861
285,Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3,6596.491228070176
286,Built-up  Area,Kalena Agrahara,1200.0,2.0,1.0,40.0,2,3333.3333333333335
287,Super built-up  Area,Kaggadasapura,1280.0,2.0,2.0,56.0,3,4375.0
288,Super built-up  Area,Silver Springs Layout,1084.0,2.0,2.0,50.0,2,4612.546125461255
289,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2549.753694581281
290,Super built-up  Area,Kanakpura Road,1017.0,2.0,1.0,51.25,2,5039.331366764995
291,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044
292,Super built-up  Area,Electronic City Phase II,1069.0,2.0,2.0,45.0,2,4209.541627689429
293,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.2,2,7279.466271312083
294,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.124378109453
295,Super built-up  Area,Jakkur,1417.0,2.0,3.0,75.0,2,5292.87226534933
296,Plot  Area,TC Palaya,1475.0,3.0,1.0,98.0,3,6644.067796610169
297,Carpet  Area,Maruthi Sevanagar,950.0,2.0,2.0,47.0,2,4947.368421052632
298,Super built-up  Area,RMV 2nd Stage,2000.0,4.0,0.0,120.0,4,6000.0
300,Super built-up  Area,Sarjapur  Road,1863.0,3.0,2.0,104.0,4,5582.393988191089
301,Super built-up  Area,Singasandra,1010.0,2.0,1.0,29.5,2,2920.792079207921
302,Super built-up  Area,Kalena Agrahara,1425.0,2.0,1.0,70.0,3,4912.2807017543855
303,Super built-up  Area,Vijayanagar,1450.0,3.0,0.0,100.0,3,6896.551724137931
304,Super built-up  Area,Kothanur,1847.0,3.0,2.0,105.0,3,5684.89442338928
305,Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2,4090.909090909091
306,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1,4952.380952380952
307,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,95.0,3,5705.705705705705
308,Super built-up  Area,Begur,1664.0,4.0,3.0,65.0,4,3906.25
309,Super built-up  Area,JP Nagar,1850.0,3.0,3.0,150.0,3,8108.108108108108
310,Super built-up  Area,Panathur,1438.0,2.0,3.0,100.0,2,6954.102920723227
311,Super built-up  Area,Sunder Ram Shetty Nagar,1560.0,3.0,3.0,115.0,3,7371.794871794872
312,Super built-up  Area,Yelahanka,1350.0,2.0,1.0,55.55,2,4114.814814814815
313,Super built-up  Area,Kanakpura Road,1550.0,3.0,3.0,67.0,3,4322.580645161291
314,Super built-up  Area,Malleshpalya,1140.0,2.0,2.0,46.5,2,4078.9473684210525
316,Super built-up  Area,Kodathi,850.0,2.0,2.0,27.0,2,3176.470588235294
317,Super built-up  Area,Whitefield,1280.0,2.0,2.0,75.0,2,5859.375
318,Built-up  Area,Munnekollal,1170.0,2.0,2.0,52.0,2,4444.444444444444
319,Super built-up  Area,Motappa Layout,1113.0,2.0,1.0,51.0,2,4582.210242587601
320,Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2,5999.27797833935
321,Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.0,2,5762.41134751773
326,Super built-up  Area,Haralur Road,1464.0,3.0,2.0,56.0,3,3825.136612021858
327,Super built-up  Area,Manayata Tech Park,1200.0,2.0,2.0,55.0,2,4583.333333333333
328,Super built-up  Area,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2,4333.333333333333
329,Super built-up  Area,Kaggalipura,1150.0,2.0,1.0,55.0,3,4782.608695652174
330,Built-up  Area,Basavanna Nagar,1645.0,3.0,2.0,95.0,3,5775.075987841945
331,Super built-up  Area,Sarjapur  Road,1000.0,2.0,1.0,67.0,2,6700.0
332,Plot  Area,Haralur Road,2650.0,4.0,2.0,198.0,4,7471.698113207547
333,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168
334,Super built-up  Area,Ulsoor,2135.0,3.0,2.0,215.0,3,10070.257611241217
335,Super built-up  Area,Whitefield,1173.0,2.0,1.0,58.0,2,4944.58653026428
336,Built-up  Area,Uttarahalli,1020.0,2.0,2.0,45.0,2,4411.764705882353
337,Super built-up  Area,Thigalarapalya,3122.0,6.0,2.0,230.0,4,7367.072389493914
338,Super built-up  Area,Somasundara Palya,1600.0,3.0,3.0,64.0,3,4000.0
339,Plot  Area,T.C PALYA,1200.0,2.0,0.0,79.0,2,6583.333333333333
340,Carpet  Area,Muneshwara Nagar,1230.0,2.0,3.0,48.0,2,3902.439024390244
341,Super built-up  Area, Devarachikkanahalli,1250.0,2.0,2.0,40.0,2,3200.0
342,Super built-up  Area,Kalena Agrahara,1325.0,2.0,2.0,76.0,2,5735.8490566037735
